Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Extra player shot made,Penalty shot made,Total attempted,Total made
BACHELIER L,1,0,1,0,0,0,0,0,0,0,0,1,0
BACHELIER L,2,1,2,1,1,0,0,0,1,0,0,5,1
BACHELIER L,3,2,0,0,0,0,0,0,0,0,0,2,0
BACHELIER L,4,0,0,1,0,1,0,0,0,0,1,2,1
BACHELIER L,5,1,1,0,1,0,0,0,0,0,0,3,0
BARBIEUX M,1,1,0,0,0,0,0,0,0,0,0,1,0
BARBIEUX M,3,1,0,0,0,0,0,0,0,0,0,1,0
BARBIEUX M,5,1,0,0,0,0,0,0,0,0,0,1,0
CESCA L,3,0,1,0,0,0,0,0,0,0,0,1,0
GUILLET L,1,7,5,1,0,0,2,1,0,0,0,13,3
GUILLET L,2,4,1,0,1,0,1,1,0,0,0,6,2
GUILLET L,3,3,4,0,0,0,1,1,0,0,0,7,2
GUILLET L,4,2,2,0,1,2,0,2,0,1,2,7,5
GUILLET L,5,2,1,0,0,0,1,0,0,0,0,3,1
JASKOVA M,1,1,1,0,0,0,0,0,0,0,0,2,0
JASKOVA M,2,0,0,0,1,0,0,0,0,0,0,1,0
JASKOVA M,3,2,1,0,1,0,0,0,0,1,0,4,1
JASKOVA M,5,1,1,0,0,0,0,0,0,0,0,2,0
MAHIEU G,1,0,4,0,0,0,0,0,0,0,0,4,0
MAHIEU G,3,0,1,0,0,0,0,0,0,0,0,1,0
MAHIEU G,4,0,1,1,0,0,0,1,0,0,0,2,1
MAHIEU G,5,0,1,0,0,0,0,1,0,0,0,1,1
MILLOT E,1,1,1,0,0,0,0,1,0,0,0,2,1
MILLOT E,2,3,0,0,1,0,0,0,0,0,0,4,0
MILLOT E,3,2,2,0,1,0,0,0,0,0,0,5,0
MILLOT E,4,2,0,1,0,0,1,0,0,0,0,3,1
MILLOT E,5,8,3,0,1,0,2,0,0,0,0,12,2
SACRE A,1,0,1,0,0,0,0,0,0,0,0,1,0
SACRE A,2,2,1,0,2,0,0,0,0,1,0,5,1
SACRE A,3,1,0,0,0,0,0,0,0,0,0,1,0
SACRE A,5,2,1,1,0,0,0,0,0,0,0,4,0
TARDY M,1,2,1,0,0,0,0,1,0,0,0,3,1
TARDY M,3,2,0,0,0,0,0,0,0,0,0,2,0
TARDY M,4,0,1,0,1,0,0,1,0,0,0,2,1
TARDY M,5,0,1,0,1,0,0,1,0,1,0,2,2
