Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BARRETT N,1,1,2,0,0,0,0,0,1,0,0,0,0,3,1
BARRETT N,2,1,1,0,0,0,0,1,0,0,0,0,0,2,1
BARRETT N,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BARRETT N,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0
BARRETT N,5,0,1,0,2,0,0,0,0,0,1,0,0,3,1
HALLENDORFF A,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1
HALLENDORFF A,4,1,0,0,1,0,0,1,0,0,1,0,0,2,2
HALLENDORFF A,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0
KEEVY A,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
KEEVY A,4,2,1,0,0,0,0,0,0,0,0,0,0,3,0
MANSON M,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MANSON M,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PALEY K,4,0,1,1,1,0,0,0,0,0,1,0,0,3,1
PALEY K,5,0,0,2,0,1,0,0,0,0,0,0,0,3,0
PENNEY A,1,0,3,0,0,0,0,0,1,0,0,0,0,3,1
PENNEY A,2,2,0,0,0,1,0,0,0,0,0,1,0,3,1
PENNEY A,3,3,1,0,0,0,0,1,0,0,0,0,0,4,1
PENNEY A,4,1,1,1,0,0,0,0,0,0,0,0,0,3,0
PENNEY A,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SCHOOLING M,2,0,1,1,0,1,0,0,0,1,0,1,0,3,2
SCHOOLING M,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0
SMIT Z,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SMIT Z,3,1,1,0,0,0,0,1,0,0,0,0,0,2,1
SMIT Z,4,0,1,2,0,0,0,0,0,0,0,0,0,3,0
SMIT Z,5,0,0,4,0,0,0,0,0,2,0,0,0,4,2
WESSELS C,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0
WESSELS C,2,0,1,1,0,1,0,0,1,0,0,0,0,3,1
WESSELS C,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
WESSELS C,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1
WHITE K,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WHITE K,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
WHITE K,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0
WHITE K,4,3,2,0,0,0,1,0,0,0,0,0,1,6,1
WHITE K,5,1,1,0,0,1,1,0,0,0,0,0,1,4,1
