Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BACH PASCUAL M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BARRETT N,1,1,2,0,0,0,0,0,1,0,0,0,0,3,1
BISHOP I,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
BORISOVA M,5,2,1,0,0,1,1,1,0,0,0,0,1,5,2
BUCKLING H,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
CRESPI BARRIGA P,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CRESPI BARRIGA P,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ESPAR LLAQUET A,2,3,3,0,0,0,1,1,1,0,0,0,1,7,3
ESPAR LLAQUET A,6,4,1,1,0,0,1,2,0,0,0,0,1,7,3
ESPAR LLAQUET C,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FATTAL R,1,0,3,2,1,0,0,0,1,1,1,0,0,6,3
FATTAL R,2,0,2,1,0,1,0,0,0,1,0,1,0,4,2
FATTAL R,3,1,0,0,0,1,0,1,0,0,0,1,0,2,2
FATTAL R,4,1,1,0,0,0,0,0,1,0,0,0,0,2,1
FATTAL R,5,1,4,0,0,1,0,1,3,0,0,1,0,6,5
FATTAL R,6,2,0,0,0,1,0,0,0,0,0,1,0,3,1
FISCHER A,1,0,1,1,0,1,0,0,1,0,0,1,0,3,2
FISCHER A,2,0,1,1,0,0,0,0,0,1,0,0,0,2,1
FISCHER A,3,0,2,0,1,0,0,0,1,0,1,0,0,3,2
FISCHER A,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0
FISCHER A,6,0,0,2,0,0,0,0,0,0,0,0,0,2,0
FISCHER M,1,0,6,1,0,0,0,0,1,1,0,0,0,7,2
FISCHER M,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FISCHER M,3,1,2,0,0,0,0,0,2,0,0,0,0,3,2
FISCHER M,4,2,1,0,0,0,0,0,0,0,0,0,0,3,0
FISCHER M,5,1,2,0,0,1,0,0,0,0,0,0,0,4,0
FISCHER M,6,0,1,0,0,1,0,0,0,0,0,1,0,2,1
FORCA ARIZA J,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
FORCA ARIZA J,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0
GOFERS K,4,0,4,1,0,1,0,0,3,0,0,1,0,6,4
GUAL ROVIROSA A,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GUAL ROVIROSA A,6,1,1,0,0,0,0,0,0,0,0,0,0,2,0
HALLIGAN B,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0
HAUSCHILD P,1,0,2,0,0,1,0,0,1,0,0,1,0,3,2
HAUSCHILD P,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HAUSCHILD P,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1
HAUSCHILD P,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HOUGHTON E,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HUDSON K,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1
IVANOVA E,5,1,1,0,0,1,0,0,1,0,0,0,0,3,1
LEITON ARRONES P,2,0,0,1,0,1,0,0,0,0,0,1,0,2,1
LEITON ARRONES P,6,1,0,1,0,1,0,0,0,0,0,1,0,3,1
LEWIS N,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
LLORET GOMEZ H,2,0,3,0,0,1,0,0,2,0,0,0,0,4,2
LLORET GOMEZ H,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LOPES da SILVA C,3,2,0,0,0,1,0,0,0,0,0,1,0,3,1
MASON K,3,5,0,0,0,0,0,1,0,0,0,0,0,5,1
MIHAILOVIC L,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MUSSELMAN M,2,2,4,0,0,1,0,1,1,0,0,1,0,7,3
MUSSELMAN M,3,3,4,0,0,0,0,0,4,0,0,0,0,7,4
