Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ALOGBO K,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ASIMAKI A,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AVRAMIDOU A,5,1,2,0,0,0,0,1,1,0,0,0,0,3,2
BACH PASCUAL M,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BACH PASCUAL M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BACH PASCUAL M,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BACH PASCUAL M,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BACH PASCUAL M,6,0,1,1,0,0,0,0,1,0,0,0,0,2,1
BARRETT N,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BEKHAZI J,6,2,2,0,0,0,0,0,0,0,0,0,0,4,0
BI Y,4,1,0,0,0,1,0,0,0,0,0,1,0,2,1
CHEN X,4,2,0,0,0,0,0,1,0,0,0,0,0,2,1
CHRISTMAS K,6,1,4,0,0,1,1,0,1,0,0,1,0,7,2
CHYDIRIOTI I,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CRESPI BARRIGA P,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
CRESPI BARRIGA P,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CRESPI BARRIGA P,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1
CRESPI BARRIGA P,4,0,0,1,0,1,0,0,0,1,0,1,0,2,2
CRESPI BARRIGA P,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0
CRESPI BARRIGA P,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DIAMANTOPOULOU V,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
EGGENS M,6,1,3,0,0,1,0,0,2,0,0,0,0,5,2
ELEFTHERIADOU N,5,0,3,0,0,0,0,0,1,0,0,0,0,3,1
ESPAR LLAQUET A,1,1,1,0,0,1,1,0,1,0,0,0,1,4,2
ESPAR LLAQUET A,2,3,3,0,0,0,1,1,1,0,0,0,1,7,3
