Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Total attempted,Total made
GUBAREV S,1,1,0,0,1,1,0,0,0,1,1,3,2
GUBAREV S,2,2,0,0,0,1,0,0,0,0,0,3,0
GUBAREV S,3,0,1,0,0,0,0,1,0,0,0,1,1
GUBAREV S,4,1,3,0,0,0,0,3,0,0,0,4,3
KOLIADENKO A,2,0,1,0,0,0,0,1,0,0,0,1,1
KOLIADENKO A,3,0,1,0,0,1,0,1,0,0,1,2,2
KOLIADENKO A,4,0,1,0,0,1,0,0,0,0,0,2,0
MANAFOV R,1,0,0,2,0,0,0,0,0,0,0,2,0
MEDVEDEV Y,1,1,0,0,0,0,0,0,0,0,0,1,0
MEDVEDEV Y,2,1,1,0,0,0,1,1,0,0,0,2,2
MEDVEDEV Y,3,1,0,0,0,0,0,0,0,0,0,1,0
MEDVEDEV Y,4,0,1,0,0,1,0,1,0,0,0,2,1
PEKOVICH B,1,0,1,1,0,0,0,0,1,0,0,2,1
PEKOVICH B,2,0,0,2,0,0,0,0,1,0,0,2,1
PEKOVICH B,3,1,0,0,0,2,0,0,0,0,1,3,1
PEKOVICH B,4,0,0,0,0,1,0,0,0,0,1,1,1
PILIPENKO R,1,0,0,0,1,1,0,0,0,1,0,2,1
PILIPENKO R,3,0,1,0,0,2,0,0,0,0,1,3,1
PILIPENKO R,4,1,0,0,0,0,0,0,0,0,0,1,0
SHAKENOV M,1,0,1,1,0,1,0,0,0,0,0,3,0
SHAKENOV M,2,1,1,0,0,0,0,1,0,0,0,2,1
SHAKENOV M,3,0,1,0,0,0,0,0,0,0,0,1,0
SHAKENOV M,4,1,0,1,0,0,0,0,0,0,0,2,0
SHMIDER A,2,0,1,0,0,1,0,1,0,0,1,2,2
SHMIDER A,3,1,0,0,0,0,0,0,0,0,0,1,0
SHMIDER A,4,0,1,0,0,0,0,0,0,0,0,1,0
UKUMANOV R,1,2,1,0,1,1,0,0,0,1,0,5,1
UKUMANOV R,2,2,2,0,0,1,0,0,0,0,0,5,0
UKUMANOV R,3,2,1,0,0,0,1,0,0,0,0,3,1
UKUMANOV R,4,0,1,0,0,0,0,0,0,0,0,1,0
USHAKOV V,1,3,2,0,0,0,1,2,0,0,0,5,3
USHAKOV V,2,3,1,0,0,0,0,0,0,0,0,4,0
USHAKOV V,3,1,1,0,0,0,0,0,0,0,0,2,0
USHAKOV V,4,4,0,0,0,1,1,0,0,0,1,5,2
