Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,1,0,0,ESP,1.0,STONEMAN E,0 - 0,424,NZL,7:04,Missed,0
Action shot,3.0,1,0,1,ESP,1.0,ESPAR LLAQUET A,0 - 1,410,ESP,6:50,Goal,1
5m shot,8.0,1,0,1,ESP,1.0,LOPES da SILVA C,0 - 1,343,NZL,5:43,Post,0
5m shot,9.0,1,0,1,ESP,1.0,STONEMAN E,0 - 1,294,NZL,4:54,Blocked,0
Action shot,7.0,1,0,1,ESP,1.0,ESPAR LLAQUET C,0 - 1,258,ESP,4:18,Missed,0
Centre shot,12.0,1,0,2,ESP,1.0,LEITON ARRONES P,0 - 2,239,ESP,3:59,Goal,1
5m shot,7.0,1,0,2,ESP,1.0,HOUGHTON E,0 - 2,209,NZL,3:29,Post,0
Extra player shot,6.0,1,0,3,ESP,1.0,LLORET GOMEZ H,0 - 3,156,ESP,2:36,Goal,1
Action shot,11.0,1,0,3,ESP,1.0,GUAL ROVIROSA A,0 - 3,51,ESP,0:51,Saved,0
Extra player shot,2.0,1,0,3,ESP,1.0,LEWIS N,0 - 3,10,NZL,0:10,Post,0
Action shot,9.0,1,0,3,ESP,1.0,FORCA ARIZA J,0 - 3,2,ESP,0:02,Saved,0
Action shot,8.0,1,0,3,ESP,2.0,LOPES da SILVA C,0 - 3,421,NZL,7:01,Saved,0
Extra player shot,3.0,1,0,3,ESP,2.0,MASON K,0 - 3,355,NZL,5:55,Saved,0
Action shot,4.0,1,0,3,ESP,2.0,ORTIZ MUNOZ B,0 - 3,342,ESP,5:42,Saved,0
5m shot,8.0,1,1,3,ESP,2.0,LOPES da SILVA C,1 - 3,316,NZL,5:16,Goal,1
5m shot,3.0,1,1,3,ESP,2.0,MASON K,1 - 3,251,NZL,4:11,Missed,0
Extra player shot,6.0,1,1,4,ESP,2.0,LLORET GOMEZ H,1 - 4,199,ESP,3:19,Goal,1
Extra player shot,11.0,1,2,9,ESP,4.0,GUAL ROVIROSA A,2 - 9,130,ESP,2:10,Goal,1
5m shot,8.0,1,2,9,ESP,4.0,LOPES da SILVA C,2 - 9,101,NZL,1:41,Saved,0
Action shot,4.0,1,2,9,ESP,2.0,ORTIZ MUNOZ B,2 - 9,89,ESP,1:29,Post,0
Action shot,9.0,1,2,9,ESP,2.0,FORCA ARIZA J,2 - 9,61,ESP,1:01,Saved,0
Action shot,7.0,1,2,9,ESP,2.0,HOUGHTON E,2 - 9,27,NZL,0:27,Saved,0
5m shot,4.0,1,2,9,ESP,2.0,ORTIZ MUNOZ B,2 - 9,1,ESP,0:01,Saved,0
5m shot,4.0,1,2,9,ESP,3.0,ORTIZ MUNOZ B,2 - 9,376,ESP,6:16,Saved,0
Action shot,4.0,1,2,9,ESP,3.0,FERIGO R,2 - 9,352,NZL,5:52,Missed,0
Action shot,7.0,1,2,9,ESP,3.0,ESPAR LLAQUET C,2 - 9,342,ESP,5:42,Saved,0
Action shot,4.0,1,2,9,ESP,3.0,FERIGO R,2 - 9,296,NZL,4:56,Missed,0
Action shot,4.0,1,2,9,ESP,3.0,ORTIZ MUNOZ B,2 - 9,283,ESP,4:43,Saved,0
Action shot,11.0,1,2,9,ESP,3.0,GUAL ROVIROSA A,2 - 9,215,ESP,3:35,Post,0
5m shot,11.0,1,2,9,ESP,3.0,HUDSON K,2 - 9,186,NZL,3:06,Post,0
Action shot,9.0,1,1,5,ESP,3.0,FORCA ARIZA J,1 - 5,167,ESP,2:47,Goal,1
Centre shot,2.0,1,1,5,ESP,3.0,BACH PASCUAL M,1 - 5,140,ESP,2:20,Saved,0
Penalty shot,3.0,1,1,6,ESP,3.0,ESPAR LLAQUET A,1 - 6,93,ESP,1:33,Goal,1
Extra player shot,8.0,1,1,6,ESP,3.0,LOPES da SILVA C,1 - 6,58,NZL,0:58,Missed,0
5m shot,3.0,1,1,6,ESP,3.0,ESPAR LLAQUET A,1 - 6,6,ESP,0:06,Saved,0
5m shot,9.0,1,1,6,ESP,3.0,FORCA ARIZA J,1 - 6,1,ESP,0:01,Missed,0
